Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000163319	MRPS18C	ENSG00000163319_MRPS18C	770	409	454	667
ENSG00000163320	CGGBP1	ENSG00000163320_CGGBP1	1810	1296	971	1268
ENSG00000163322	ABRAXAS1	ENSG00000163322_ABRAXAS1	267	166	123	151
ENSG00000163328	GPR155	ENSG00000163328_GPR155	102	171	65	241
ENSG00000163331	DAPL1	ENSG00000163331_DAPL1	0	0	0	0
ENSG00000163344	PMVK	ENSG00000163344_PMVK	432	282	204	184
ENSG00000163346	PBXIP1	ENSG00000163346_PBXIP1	970	1853	648	1605
ENSG00000163347	CLDN1	ENSG00000163347_CLDN1	44	281	31	142
ENSG00000163348	PYGO2	ENSG00000163348_PYGO2	1899	1570	1248	1897
ENSG00000163349	HIPK1	ENSG00000163349_HIPK1	2519	1316	1299	1894
ENSG00000163352	LENEP	ENSG00000163352_LENEP	1	0	0	0
ENSG00000163354	DCST2	ENSG00000163354_DCST2	2	6	2	5
ENSG00000163357	DCST1	ENSG00000163357_DCST1	0	0	0	1
ENSG00000163359	COL6A3	ENSG00000163359_COL6A3	262	536	467	1123
ENSG00000163362	INAVA	ENSG00000163362_INAVA	687	766	383	1051
ENSG00000163364	LINC01116	ENSG00000163364_LINC01116	333	159	181	185
ENSG00000163374	YY1AP1	ENSG00000163374_YY1AP1	1166	786	723	1150
ENSG00000163376	KBTBD8	ENSG00000163376_KBTBD8	91	39	58	94
ENSG00000163377	TAFA4	ENSG00000163377_TAFA4	0	0	0	0
ENSG00000163378	EOGT	ENSG00000163378_EOGT	572	221	225	251
ENSG00000163380	LMOD3	ENSG00000163380_LMOD3	1	0	0	0
ENSG00000163382	NAXE	ENSG00000163382_NAXE	4428	3043	2764	3423
ENSG00000163389	POGLUT1	ENSG00000163389_POGLUT1	351	412	224	302
ENSG00000163393	SLC22A15	ENSG00000163393_SLC22A15	507	523	296	547
ENSG00000163394	CCKAR	ENSG00000163394_CCKAR	0	0	0	0
ENSG00000163395	IGFN1	ENSG00000163395_IGFN1	25	3	0	5
ENSG00000163399	ATP1A1	ENSG00000163399_ATP1A1	23181	17737	13418	21526
ENSG00000163406	SLC15A2	ENSG00000163406_SLC15A2	36	23	17	23
ENSG00000163412	EIF4E3	ENSG00000163412_EIF4E3	110	132	119	197
ENSG00000163421	PROK2	ENSG00000163421_PROK2	0	0	0	3
ENSG00000163424	TEX55	ENSG00000163424_TEX55	0	0	0	0
ENSG00000163428	LRRC58	ENSG00000163428_LRRC58	2873	1284	1091	1813
ENSG00000163430	FSTL1	ENSG00000163430_FSTL1	1561	1441	1283	1755
ENSG00000163431	LMOD1	ENSG00000163431_LMOD1	1	0	0	0
ENSG00000163435	ELF3	ENSG00000163435_ELF3	70	244	14	104
ENSG00000163440	PDCL2	ENSG00000163440_PDCL2	0	0	0	0
ENSG00000163444	TMEM183A	ENSG00000163444_TMEM183A	2200	1306	1293	1791
ENSG00000163449	TMEM169	ENSG00000163449_TMEM169	29	34	7	20
ENSG00000163453	IGFBP7	ENSG00000163453_IGFBP7	3146	3181	1781	2918
ENSG00000163462	TRIM46	ENSG00000163462_TRIM46	272	188	148	147
ENSG00000163463	KRTCAP2	ENSG00000163463_KRTCAP2	151	72	62	45
ENSG00000163464	CXCR1	ENSG00000163464_CXCR1	1	0	2	2
ENSG00000163466	ARPC2	ENSG00000163466_ARPC2	16270	10003	8895	11103
ENSG00000163467	TSACC	ENSG00000163467_TSACC	30	9	10	11
ENSG00000163468	CCT3	ENSG00000163468_CCT3	19119	8819	10400	12245
ENSG00000163472	TMEM79	ENSG00000163472_TMEM79	903	1267	455	1032
ENSG00000163479	SSR2	ENSG00000163479_SSR2	5220	2862	3803	4275
ENSG00000163481	RNF25	ENSG00000163481_RNF25	823	706	732	1058
ENSG00000163482	STK36	ENSG00000163482_STK36	891	771	579	586
ENSG00000163485	ADORA1	ENSG00000163485_ADORA1	24	13	11	46
ENSG00000163491	NEK10	ENSG00000163491_NEK10	2	4	8	4
ENSG00000163492	CCDC141	ENSG00000163492_CCDC141	0	0	0	0
ENSG00000163497	FEV	ENSG00000163497_FEV	0	0	0	0
ENSG00000163499	CRYBA2	ENSG00000163499_CRYBA2	5	25	9	28
ENSG00000163501	IHH	ENSG00000163501_IHH	0	0	0	0
ENSG00000163507	CIP2A	ENSG00000163507_CIP2A	1202	237	423	427
ENSG00000163508	EOMES	ENSG00000163508_EOMES	9	2	7	9
ENSG00000163510	CWC22	ENSG00000163510_CWC22	1304	664	806	869
ENSG00000163512	AZI2	ENSG00000163512_AZI2	1036	835	612	903
ENSG00000163513	TGFBR2	ENSG00000163513_TGFBR2	3682	1399	2225	2454
ENSG00000163515	RETNLB	ENSG00000163515_RETNLB	0	0	0	0
ENSG00000163516	ANKZF1	ENSG00000163516_ANKZF1	1504	1320	1014	1453
ENSG00000163517	HDAC11	ENSG00000163517_HDAC11	669	807	345	633
ENSG00000163518	FCRL4	ENSG00000163518_FCRL4	0	0	0	0
ENSG00000163519	TRAT1	ENSG00000163519_TRAT1	0	0	0	0
ENSG00000163520	FBLN2	ENSG00000163520_FBLN2	4	12	2	7
ENSG00000163521	GLB1L	ENSG00000163521_GLB1L	101	62	50	35
ENSG00000163527	STT3B	ENSG00000163527_STT3B	2883	1819	1995	2391
ENSG00000163528	CHCHD4	ENSG00000163528_CHCHD4	1038	607	597	818
ENSG00000163530	DPPA2	ENSG00000163530_DPPA2	0	0	0	0
ENSG00000163531	NFASC	ENSG00000163531_NFASC	43	92	36	79
ENSG00000163534	FCRL1	ENSG00000163534_FCRL1	0	0	0	0
ENSG00000163535	SGO2	ENSG00000163535_SGO2	2080	299	567	497
ENSG00000163536	SERPINI1	ENSG00000163536_SERPINI1	295	199	146	301
ENSG00000163539	CLASP2	ENSG00000163539_CLASP2	1579	838	770	1366
ENSG00000163541	SUCLG1	ENSG00000163541_SUCLG1	2382	1602	1433	2005
ENSG00000163545	NUAK2	ENSG00000163545_NUAK2	507	566	255	465
ENSG00000163554	SPTA1	ENSG00000163554_SPTA1	0	0	0	0
ENSG00000163558	PRKCI	ENSG00000163558_PRKCI	2328	1527	1238	2059
ENSG00000163563	MNDA	ENSG00000163563_MNDA	0	0	0	0
ENSG00000163564	PYHIN1	ENSG00000163564_PYHIN1	0	0	0	0
ENSG00000163565	IFI16	ENSG00000163565_IFI16	2751	2087	2086	3151
ENSG00000163568	AIM2	ENSG00000163568_AIM2	171	211	84	311
ENSG00000163576	EFHB	ENSG00000163576_EFHB	6	5	2	4
ENSG00000163577	EIF5A2	ENSG00000163577_EIF5A2	440	120	278	274
ENSG00000163581	SLC2A2	ENSG00000163581_SLC2A2	0	0	0	0
ENSG00000163584	RPL22L1	ENSG00000163584_RPL22L1	1252	332	690	524
